"Ac","Activities","Uniclass2"
"Ac_81_90_09","Bus Standing","Ac_81_90"
"Ac_81_90_13","Car Parking – Indoor ","Ac_81_90"
"Ac_81_90_14","Car Parking – Outdoor ","Ac_81_90"
"Ac_81_90_91","Truck Standing","Ac_81_90"
"Ac_81_90_94","Vehicle Fuelling","Ac_81_90"
"Ac_81_90_95","Vehicle Inspecting","Ac_81_90"
"Ac_81_90_96","Vehicle Servicing","Ac_81_90"
"Ac_81_90_97","Vehicle Washing","Ac_81_90"
"Ac_82","Marine And Waterway Activities","Ac"
"Ac_82_10","Marine And Water Way Activities","Ac_82"
"Ac_82_10_11","Canal Level Changing","Ac_82_10"
"Ac_82_10_12","Canal Travelling","Ac_82_10"
"Ac_82_10_37","Harbour Level Changing","Ac_82_10"
"Ac_82_10_59","Overhead Canal Travelling","Ac_82_10"
"Ac_82_80","Marine And Waterway Loading And Embarkation Activities","Ac_82"
"Ac_82_80_05","Baggage Handling","Ac_82_80"
"Ac_82_80_09","Boat And Ship Disembarking","Ac_82_80"
"Ac_82_80_10","Boat And Ship Embarking","Ac_82_80"
"Ac_82_80_14","Cargo Loading","Ac_82_80"
"Ac_82_80_20","Customs Controlling","Ac_82_80"
"Ac_82_80_34","Goods Docking","Ac_82_80"
"Ac_82_80_36","Harbour Controlling","Ac_82_80"
"Ac_82_80_44","Deep Water Accessing","Ac_82_80"
"Ac_82_80_46","Landing","Ac_82_80"
"Ac_82_80_60","Passenger Docking","Ac_82_80"
"Ac_82_80_61","Passport Controlling","Ac_82_80"
"Ac_82_80_77","Shipping Arrivals","Ac_82_80"
"Ac_82_80_78","Shipping Departures","Ac_82_80"
"Ac_82_90","Marine And Waterway Storage And Repair Activities","Ac_82"
"Ac_82_90_06","Baggage Storing","Ac_82_90"
"Ac_82_90_08","Boat Repairing","Ac_82_90"
"Ac_82_90_09","Boat Storing","Ac_82_90"
"Ac_82_90_13","Cargo Handling","Ac_82_90"
"Ac_82_90_15","Cargo Storing","Ac_82_90"
"Ac_82_90_24","Dry Repair Docking","Ac_82_90"
"Ac_82_90_30","Floating Repair Docking","Ac_82_90"
"Ac_82_90_35","Harbour Protecting","Ac_82_90"
"Ac_82_90_47","Lifeboat Vessel Storing","Ac_82_90"
"Ac_82_90_47","Lifeboat Vessel Launching ","Ac_82_90"
"Ac_82_90_79","Vessel Launching","Ac_82_90"
"Ac_82_90_96","Warning Beacon Operating","Ac_82_90"
"Ac_82_90_97","Wet Repair Docking","Ac_82_90"
"Ac_83","Cable Transport Activities","Ac"
"Ac_83_10","Cable Way Activities","Ac_83"
"Ac_83_10_13","Cableway Travelling","Ac_83_10"
"Ac_83_80","Cable Transport Loading And Embarkation Activities","Ac_83"
"Ac_83_80_10","Cable Transport Disembarking","Ac_83_80"
"Ac_83_80_11","Cable Transport Embarking","Ac_83_80"
"Ac_83_80_12","Cable Transport Loading","Ac_83_80"
"Ac_83_90","Cable Transport Storage And Repair Activities","Ac_83"
"Ac_83_90_34","Gondola Repair And Cleaning","Ac_83_90"
"Ac_83_90_35","Gondola Storing","Ac_83_90"
"Ac_84","Aerospace Activities","Ac"
"Ac_84_10","Aerospace Ground Activities","Ac_84"
"Ac_84_10_02","Aeroplane Landing","Ac_84_10"
"Ac_84_10_03","Aeroplane Take-Off","Ac_84_10"
"Ac_84_10_04","Aircraft Manoeuvring","Ac_84_10"
"Ac_84_10_05","Aircraft Manoeuvring Buffering","Ac_84_10"
"Ac_84_10_06","Aircraft Standing","Ac_84_10"
"Ac_84_10_07","Airport Controlling","Ac_84_10"
"Ac_84_10_37","Helicopter Landing","Ac_84_10"
"Ac_84_10_38","Helicopter Take-Off","Ac_84_10"
"Ac_84_10_82","Spacecraft Landing","Ac_84_10"
"Ac_84_10_83","Spacecraft Take-Off","Ac_84_10"
"Ac_84_80","Aerospace Loading And Embarkation Activities","Ac_84"
"Ac_84_80_02","Aircraft Disembarking","Ac_84_80"
"Ac_84_80_03","Aircraft Embarking","Ac_84_80"
"Ac_84_80_04","Aircraft Fuelling","Ac_84_80"
"Ac_84_80_05","Arriving","Ac_84_80"
"Ac_84_80_06","Baggage Claiming","Ac_84_80"
"Ac_84_80_07","Baggage Handling","Ac_84_80"
"Ac_84_80_08","Baggage Loading","Ac_84_80"
"Ac_84_80_12","Cargo Handling","Ac_84_80"
"Ac_84_80_13","Cargo Loading","Ac_84_80"
"Ac_84_80_16","Concourses","Ac_84_80"
"Ac_84_80_22","Departing","Ac_84_80"
"Ac_84_80_82","Spacecraft Disembarking","Ac_84_80"
"Ac_84_80_83","Spacecraft Embarking","Ac_84_80"
"Ac_84_90","Aerospace Storage And Repair Activities","Ac_84"
"Ac_84_90_01","Aircraft Cleaning","Ac_84_90"
"Ac_84_90_02","Aircraft Maintaining","Ac_84_90"
"Ac_84_90_04","Aircraft Repairing","Ac_84_90"
"Ac_84_90_10","Baggage Storing","Ac_84_90"
"Ac_84_90_14","Cargo Storing","Ac_84_90"
"Ac_84_90_36","Hanger Activities","Ac_84_90"
"Ac_84_90_79","Spacecraft Cleaning","Ac_84_90"
"Ac_84_90_80","Spacecraft Maintaining","Ac_84_90"
"Ac_84_90_81","Spacecraft Preparing","Ac_84_90"
"Ac_84_90_82","Spacecraft Repairing","Ac_84_90"
"Ac_84_90_83","Spacecraft Storing","Ac_84_90"
"Ac_85","Process Engineering Activities","Ac"
"Ac_90","General Activities","Ac"
"Ac_90_01","Access Floor Services Routing","Ac_90"
"Ac_90_08","Boiler Operating","Ac_90"
"Ac_90_10","General Circulation Activities","Ac_90"
"Ac_90_13","Ceiling Services Routing","Ac_90"
"Ac_90_15","Controlling","Ac_90"
"Ac_90_27","Equipment Operating","Ac_90"
"Ac_90_32","Furnace Operating","Ac_90"
"Ac_90_42","Incinerating","Ac_90"
"Ac_90_64","Plant Operating","Ac_90"
"Ac_90_77","Server Operating","Ac_90"
"Ac_90_78","Shaft Services Routing","Ac_90"
"Ac_90_80","Solid Fuel Storing","Ac_90"
"Ac_90_85","Switching","Ac_90"
"Ac_90_90","Transformer Operating","Ac_90"
"Ac_90_96","Wall Services Routing","Ac_90"
"Ac_95","Temporary Activities","Ac"
